Restaurant Name,Zip Code,Inspection Date,Score,Address,Facility ID,Process Description,Latitude,Longitude
"""CB's"" at Stubb's Bar-B-Q",78701,11/12/2015,99,"809 RED RIVER ST
AUSTIN, TX 78701
(30.269075, -97.736231)",11070017,Routine Inspection,30.269075,-97.736231
15th Street Cafe,78701,11/10/2015,86,"303 W 15TH ST
AUSTIN, TX 78701
(30.277693, -97.742469)",2801033,Routine Inspection,30.277693,-97.742469
1st Food Mart,78704,7/27/2015,94,"1410 S 1ST ST
AUSTIN, TX 78704
(30.250229, -97.754856)",10677646,Routine Inspection,30.250229,-97.754856
1-Stop Food Store,78751,7/11/2014,93,"5101 AIRPORT BLVD
AUSTIN, TX 78751
(30.312363, -97.715363)",10632697,Routine Inspection,30.312363,-97.715363
2 Dine 4 Fine Catering,78702,11/17/2015,98,"3008 GONZALES ST
AUSTIN, TX 78702
(30.259363, -97.70708)",2802035,Routine Inspection,30.259363,-97.70708
2 n 1 Salad Bar and Grill,78758,10/21/2016,96,"901 W BRAKER LN
AUSTIN, TX 78758
(30.382937, -97.688914)",11534776,Routine Inspection,30.382937,-97.688914
21st St. College House,78705,3/30/2015,93,"707 W 21ST ST
AUSTIN, TX 78705
(30.28409, -97.745913)",2800407,Routine Inspection,30.28409,-97.745913
2222 Market,78757,5/2/2016,87,"1112 W KOENIG LN
AUSTIN, TX 78757
(30.329699, -97.729142)",11211426,Routine Inspection,30.329699,-97.729142
24 Diner,78703,12/3/2015,83,"600 N LAMAR BLVD
AUSTIN, TX 78703
(30.271744, -97.753872)",2800411,Routine Inspection,30.271744,-97.753872
290 West Bar & Grill,78737,10/30/2014,94,"12013 W US 290 HWY
AUSTIN, TX 78737
(30.211473, -97.968303)",2802301,Routine Inspection,30.211473,-97.968303
2nd Street Market,78701,4/14/2015,95,"200 SAN JACINTO BLVD
AUSTIN, TX 78701
(30.264124, -97.741615)",10003368,Routine Inspection,30.264124,-97.741615
"3 Woks Down, LLC",78705,11/10/2016,85,"1914 GUADALUPE ST Bldg B
AUSTIN, TX 78705
(30.282708, -97.74207)",11505321,Routine Inspection,30.282708,-97.74207
311 Club,78701,7/28/2016,91,"311 E 6TH ST
AUSTIN, TX 78701
(30.267248, -97.739917)",2800988,Routine Inspection,30.267248,-97.739917
34th Street Cafe,78705,9/22/2016,98,"1005 W 34TH ST
AUSTIN, TX 78705
(30.302857, -97.745108)",2801118,Routine Inspection,30.302857,-97.745108
34th Street Catering,78705,3/25/2015,92,"1009 W 34TH ST
AUSTIN, TX 78705
(30.302987, -97.74537)",10006930,Routine Inspection,30.302987,-97.74537
"360 Pizza, LLC",78704,3/23/2015,85,"2107 KINNEY AVE
AUSTIN, TX 78704
(30.248281, -97.770728)",11062654,Routine Inspection,30.248281,-97.770728
"360 Pizza, LLC",78731,10/8/2015,81,"6203 N CAPITAL OF TEXAS HWY NB Unit A100
AUSTIN, TX 78731
(30.360309, -97.790126)",10833958,Routine Inspection,30.360309,-97.790126
360 Uno,78746,8/24/2015,97,"3801 N CAPITAL OF TEXAS HWY NB Bunit 100
AUSTIN, TX 78746
(30.336788, -97.805109)",11358302,Routine Inspection,30.336788,-97.805109
3M Austin Center,78726,2/12/2015,100,"6801 RIVER PLACE BLVD
AUSTIN, TX 78726
(30.396018, -97.844774)",2800072,Routine Inspection,30.396018,-97.844774
3ten,78701,12/28/2016,99,"310 W 2ND ST Unit 1A
AUSTIN, TX 78701
(30.265127, -97.747151)",11495217,Routine Inspection,30.265127,-97.747151
411 First Floor,78701,8/12/2015,91,"404 E 6TH ST
AUSTIN, TX 78701
(30.267004, -97.739018)",10586003,Routine Inspection,30.267004,-97.739018
"4111 South First , LLC",78745,10/21/2016,97,"4111 S 1ST ST
AUSTIN, TX 78745
(30.224644, -97.770656)",10548679,Routine Inspection,30.224644,-97.770656
413 Bar,78701,7/10/2014,87,"413 E 6TH ST
AUSTIN, TX 78701
(30.266935, -97.738775)",10839037,Routine Inspection,30.266935,-97.738775
4th Tap Brewing Cooperative,78758,4/8/2016,92,"10615 METRIC BLVD
AUSTIN, TX 78758
(30.385482, -97.71222)",11319005,Routine Inspection,30.385482,-97.71222
512 Market Kitchen,78734,1/5/2017,94,"4506 WELETKA DR
AUSTIN, TX 78734
(30.40607, -97.926061)",11253014,Routine Inspection,30.40607,-97.926061
"512 on 6th, The",78701,9/15/2016,91,"408 E 6TH ST
AUSTIN, TX 78701
(30.26697, -97.738897)",10493313,Routine Inspection,30.26697,-97.738897
68 Degrees,78703,12/6/2016,88,"2401 LAKE AUSTIN BLVD
AUSTIN, TX 78703
(30.277998, -97.772407)",11309651,Routine Inspection,30.277998,-97.772407
7 - Eleven Convenience Store #36600A,78753,8/3/2016,91,"1625 E PARMER LN
AUSTIN, TX 78753
(30.387153, -97.649003)",11424489,Routine Inspection,30.387153,-97.649003
